smiles,molecular_formula,num_atoms
O=C([O-])c1cc(OCC2CCCC2)ccc1[P+](=O)N1CCCCC1,C18H24NO4P,48
CC=CC=C(C(=O)NCC)c1ccc(C)c(NC=NN=C(OCC)c2cccc(F)c2)n1,C24H28FN5O2,60
Cc1ccc2c(c1)Nc1ccc(cc1C(=O)N1CCCCC1)S(=O)(=O)N(C)C=N2,C21H24N4O3S,52
O=C(C1=C2C(=Nc3ccccc32)C(=O)N1Cc1ccccc1)N1CCOC1,C21H17N3O3,44
COc1cc(C(=O)N2CCN3CCCCC3C2)ccc1NC(=O)C1CC1,C20H27N3O3,53
COC(=O)C1=C(c2cccc(OC)c2)N(Cc2ccccc2OC)CCN1C(=O)c1ccc(OC)cc1,C29H30N2O6,67
N#Cc1ccccc1N1CCC(CN2CCCCC2)CC1,C18H25N3,46
COC(=O)c1ccc(Oc2ccc(-c3oc4cccnc4c3C(=O)c3ccccc3)c(O)c2)cc1,C28H19NO6,54
OC(CCOc1cccc(F)c1)C1NC(Cl)=Cc2ccccc21,C18H17ClFNO2,38
O=C(CCCC1(C(=O)N2CCCCCCCCC2)CC1)c1ccccc1Cl,C23H32ClNO2,59
IC1=CC=C1C1C2CCN3CCN1C23,C11H13IN2,24
OC(COc1ccccc1)Cc1ccc2c(c1)C=C2,C17H16O2,34
CC(C)(C)NC(=O)N1C2C(O)C21,C8H14N2O2,23
CCC(=O)c1c2ccc3cc(Br)cc-2c(=O)c13,C14H9BrO2,26
COc1ccc(-c2nn(C)cc2CC(C)NS(=O)(=O)c2cccc3ccccc23)cc1,C24H25N3O3S,55
CN(CCCN1CCc2ccccc2C1=O)c1ccccc1,C19H22N2O,44
CC(=O)C(=CC=CC(=O)O)C1CCCCC1(C)C,C15H22O3,39
O=C(O)CNC(=O)Nc1nccc2ccccc12,C12H11N3O3,29
CC(C)(C)CCOCCOc1ccc2c3nc(C(=O)N4CCCC4)c(s3)c2c1,C22H28N2O3S,56
CCC(=O)n1c(C(=O)N2CCCCC2)ccc1[N+](=O)[O-],C13H17N3O4,37
Cn1cc2nc(NC(=O)N3CCN(c4ccc(F)cc4N)CC3)sc2n1,C16H18FN7OS,44
CC(=O)Nc1nc(C(=O)N(C)C(=O)CCCCCCCC2CCCCC2)c(F)cc1S(C)(=O)=O,C24H36FN3O5S,70
O=C(c1ccccc1)N1CCCC2C1CCCN2S(=O)(=O)c1ccccc1F,C21H23FN2O3S,51
COCC(=O)c1ccc(S(=O)(=O)N2CCCC2)cc1,C13H17NO4S,36
COC(=O)c1cc2c(=O)oc3ccccccc3c2c1=O,C16H10O5,31
COC(=O)c1ccccc1-c1nc2ccc(NC(=O)Nc3ccc(F)cc3)cc2n1CCSC#N,C25H20FN5O3S,55
COc1ccc(C(=O)Nc2ccc(C(N)=NC=CC=C(O)C(F)(F)F)c(C(F)(F)F)c2)cc1C,C22H19F6N3O3,53
CCCN(CCn1c(=O)c2ccc1c1ccc(OC)cc21)Cc1sc2cc1CCCCC2,C27H32N2O2S,64
COC(=O)c1c(-c2cc(OC)ccc2OC)c1=O,C13H12O5,30
CCOC(=O)c1cc2c(=O)n(CCC(C)(C)C)c1c1nc(OC)ccc21,C20H24N2O4,50
CCCC=CC(=Cc1ccccc1)C1CN2CCN(C1)C2=O,C19H24N2O,46
CC(C)(C)Oc1ccc(Cl)cc1S(=O)(=O)Nc1cccc(C#N)c1,C17H17ClN2O3S,41
CC(C)(C)C(=O)N1CCN(C(=O)N2CCCCC2)CC1,C15H27N3O2,47
CC(C)(C)c1ccc(Cl)c(C(=O)OCCCC2(C(C)(C)C)CC3CCC2CC3)c1,C26H39ClO2,67
CCCC1COC(=O)C(C(C)(C)C)C1C(C)c1ccc2sc(C(=O)OC)ccc1-2,C24H32O4S,57
NC1CN(C2CCCN(CCN3CC3)C2)CCN(c2cc3ccccc3c3ccccc23)C1=O,C28H35N5O,68
O=C1N2CC(COCCOC3=CC=C(Cl)C=C4C=CC=C3O4)N1C2=O,C17H15ClN2O5,40
CCSc1cc(F)c(S(=O)(=O)N2C(=O)N3CCCC2C3=O)cc1C(=O)C(F)(F)Cl,C16H14ClF3N2O5S2,42
COc1ccc2c(c1)c1cccnc1n2CCN1CCn2c1nc(C(=O)NNC#N)c2C,C22H22N8O2,54
COC(=O)C(Cc1cc2cc(OC)ccc2o1)N(C)C(=O)c1ccc2c3cccc2c1cc3,C27H23NO5,55
CCC(=O)N1CCN(CC(C(=O)NC(=O)C=C2C(=O)N(C)N=C2O)c2ccc(OC)cc2)C1=O,C22H25N5O7,59
CC(C)(C)OC1C2OC(OC1C(C)(C)C(=O)O)C2O,C13H22O6,36
O=C(OCCCN(CCCn1ccc2ncccc21)CC1CCCC1)c1ccccc1,C26H33N3O2,64
CCCn1c(=O)c(=NC#N)c2c(C)c3ccc(nc31)=CC=2,C16H14N4O,35
NC(=O)n1c2ccc(Cl)c-2cc2ccccc21,C13H9ClN2O,26
N#CN1Cc2nnc(s2)NC(=O)NC(=O)c2ccc1cc2,C12H8N6O2S,29
CC#CC(=O)N(C(=O)c1ccccc1C)c1ccccc1Br,C18H14BrNO2,36
CN1C(=O)C(C(=O)Nc2ccccc2)CCC1=NC#N,C14H14N4O2,34
Cc1ccc(C(=O)N2CCOC(=O)c3ccccc3CC(C)(Br)N(C)C2=O)cc1,C22H23BrN2O4,52
CC1(C)COC(Oc2ccc(-c3sc(-c4ccc(Cl)cc4)nc3C(=O)N3CCCC3)cc2)C(O)C1O,C27H29ClN2O5S,62
