smiles,molecular_formula,num_atoms
CCC(O)c1sc2oc3ccc(-c4cc(NC(=O)CC(=O)c5ccccc5Cl)ccc4Cl)sc2c1c3=O,C27H19Cl2NO5S2,55
O=C(O)Cc1ccccc1N=C(c1ccc(F)cc1)N1CCN(C2CCCCC2)C1=O,C24H26FN3O3,57
Cc1ccc([N+](=O)c2ccc3ccc(C)c-3s2)cc1,C16H14NOS+,33
CN1CCN(CC2CCCN(c3ncnc4ccccc34)C2)CC1,C19H27N5,51
O=C(c1cc2cccc3c4cc(Cl)ccc4c(=O)[nH]c(=O)[nH]c(=O)c1n23)N1CCCCC1,C23H19ClN4O4,51
CC1C(Br)=CC=CC1c1nnc(N)s1,C9H10BrN3S,24
C#CC1=CCCN(C2CCCCC2N2CCCCC2)C1=O,C18H26N2O,45
COC(=O)c1c[nH]c(-c2ccccc3c4c(=O)n(c(=O)c2=4)C3)c1CCCCC(C)(C)C,C25H28N2O4,58
Cn1c(N)nnc1-n1nc(Nc2cccc(Cl)c2)[nH]c1=O,C11H11ClN8O,32
Cc1[nH]c(=O)n(-c2cccoc2=O)c1C(C)(C)N1CCCC1,C16H21N3O3,42
Cc1cccc2cc(NC(=O)N3CCN(C(=O)c4csc(N5CCCC5)n4)C3=O)ccc12,C23H23N5O3S,55
CCCCCCCC1C(C(=O)O)N(C(=O)c2ccc(OC)o2)C(=O)N1C(=O)c1ccc(C)c(OC)c1,C26H32N2O8,66
CC(=O)OCCCc1ccc(-c2cc3oc4ccccc4cc-3c(=O)n2)cc1C,C24H21NO4,50
CNC(=O)c1[nH]c(-c2ccc(OCc3cccnc3)cc2)nc1OC,C18H18N4O3,42
Cc1cccc(C(=O)Nc2ccc(-c3ccccc3C3=CCCCCCCC3)nc2)c1,C28H30N2O,61
CCCCO[Si](=O)OC(C)(C)C,C8H18O3Si,30
CN(C)Cc1ccccc2[nH]c(c1)cc2C(=O)NCc1ccc(OCC(=O)O)cc1,C23H25N3O4,55
COc1ccc(NC(=O)c2c(C)[nH]c(=O)n(-c3ccccc3)c2=O)c(OC)c1,C20H19N3O5,47
CC(C)CN1C(=O)C=C(c2cccsc3ccc(cc3)c(=O)[nH]c(=O)n(C)c2=O)C1=O,C22H21N3O5S,52
O=C1COC2=C([N+](=O)[O-])C=C2OCCOCCO1,C10H11NO7,29
COc1ccccc1-n1cccc1C(=O)N1CCN(C(=O)N2CCCCC2=O)S(=O)(=O)C1,C21H24N4O6S,56
CCOC(=O)C(=O)Nc1ccccc1C1=C(c2ccc(Cl)cc2)N(C)C(=O)C1C,C22H21ClN2O4,50
CCc1ccc(C(C)=O)c(=O)o1,C9H10O3,22
Fc1ccc2c(n1)SC1=Nc3sc(nc3CS1)N2c1ccccc1,C16H9FN4S3,33
COC(=O)C(COP(=O)(O)OC)C1CN(C(=O)C(C)OP(=O)=O)C(=O)NC1=O,C12H18N2O12P2,42
CNC(=O)N(C)CCN1CCCN(C)C1=O,C10H20N4O2,36
COP(=O)(OC#CCl)OC1C(O)CN2CCCN(C(=O)N(C#N)CCNC(C)=O)CC2C1O,C18H27ClN5O8P,56
CCC(=O)Nc1nc(-c2c(C)sc3ccccc23)c(C)s1,C16H16N2OS2,37
OC1C(CCn2c3ccc2c2cc(C(F)(F)F)ccc23)CCCC1C(F)(F)F,C20H19F6NO,44
Cn1c(=O)n(CCC(C)(C)C)c(=O)c2ccccc21,C15H20N2O2,39
CC(=O)Nc1nnc(Sc2ccccc2)c(NC(=O)Nc2ccccc2)n1,C18H16N6O2S,43
COc1ccc(OC#N)cc1C1CCCCN1C(=O)Nc1ccc(C(F)(F)F)cc1,C21H20F3N3O3,49
CCN1CCCN(CC(=O)Nc2ccc3nc2S3)C(=O)c2cc(Cl)ccc21,C19H19ClN4O2S,46
COc1cccc(N2CCCCCCC3CC=C(F)C=C3C2=O)c1,C20H24FNO2,48
COC(=O)C1=C(C)C(=O)N(c2ccc(C)cc2)CC1,C15H17NO3,36
NC(=O)Nc1cccc2c1N2,C7H7N3O,17
CCCCCCCCCCCCCCCCCCCOC(=O)[O-],C20H39O3-,62
CNC(=O)C(C)(C)C,C6H13NO,21
O=C(O)c1ccccc1N(c1cccc(-c2ccccc2O)c1)c1cc1=O,C22H15NO4,42
CC(=O)NCCn1cc2nc1c(=CC=C1C=CC(NC(=O)c3ccccc3-c3ccccc3)=N1)o2,C27H23N5O3,58
CC(C)C(C)n1c2nc3c1N=c1c-3c3[nH]c(=O)ncc3cc(F)cc3c(c1=CC=3)=CC=C(C=CC=CC#N)N2,C30H24FN7O,60
O=C1CCCN(C(=O)c2ccccc2)CN2C(=O)c3csc(c31)C2=O,C18H14N2O4S,39
CCOC(=O)COC(=O)C(=O)OC(C)C,C9H14O6,29
CSc1ccc(S(=O)(=O)OC(=O)c2cccc(C(F)(F)F)c2)cc1C,C16H13F3O4S2,38
COC1=C(C)c2ccc(NC(=O)N3CCN(C)CC3=O)c3c(C)c1sc23,C19H21N3O3S,47
CCCN(C)S(=O)(=O)c1ccc2nc3c(cc2c1)sc1nccn13,C16H16N4O2S2,40
O=C1OCCCC1n1nc(C(=O)N2CCCCC2)n(-c2ccc(Cl)cc2C=C(Cl)C2=CO2)c1=O,C23H22Cl2N4O5,55
COc1cc(C2=CN(CCOc3ccc(Cl)cc3Cl)CCC2)c(Cl)cc1Cl,C20H19Cl4NO2,46
CCI,C2H5I,8
CCCCCC(=O)N1CCN(C(=O)c2ccc3c4c(c(OCC)c(OC)cc24)OC3=O)CC1,C25H30N2O6,63
