smiles,molecular_formula,num_atoms
CCCCOc1c(F)cc2n(c1=O)CCS2(=O)=O,C11H14FNO4S,32
Cc1ccc(-c2n[nH]c(=O)n2CCCCCc2cccs2)cc1,C18H21N3OS,43
COC1=CC(NC(=O)c2nc3ncc2n3C)=CC=C(F)C=C1,C15H13FN4O2,35
COc1cc(OC)cc(-c2nc3c4nc(C#CC(=O)N5CCCCC5)nc(n24)C3)c1,C22H21N5O3,51
Cn1c(NCCN2CCCC(C)(C)C2)nc2ncccc21,C16H25N5,46
CCCCCC1COCCN1S(=O)(=O)c1ccccc1,C15H23NO3S,42
c1ccc(CCCCCN2CCN(CCNc3nc4ccc3CC4)CC2)cc1,C24H34N4,62
Cc1ccc(-c2ccccc2)n(CCCn2c3nnc2SC(=O)N3)c1=O,C18H17N5O2S,43
COCCCCN=C=Nc1c2nc(n(C#N)c1=O)Sc1ccc(Cl)cc1-2,C17H14ClN5O2S,40
COc1ccccc1C(=O)N(CCSc1n[nH]c(N)n1)Cc1ccccc1,C19H21N5O2S,47
O=C(CCCCCCCCCCc1ccc2c(=O)n1CCC2)N1CCCCC1,C24H38N2O2,66
COC1=CC(N(C)C)=Nc2c(C)nc3n2CC(=C1)S3,C13H16N4OS,35
COc1cccc(C(=O)OC2C3OC(C)(C)C(=O)OC4CC2(C)CCC43)c1,C21H26O6,49
CCN(C(=O)OC)C(=O)N(C)c1sc2nc1C(=O)N2c1ccccc1,C16H16N4O4S,41
CCCCCN(C)C(=O)N1CCN(c2nnc3n2CCN3CC)CC1,C17H31N7O,56
COc1cc2oc1c1c3c(OCC(C)(C)C)cc(cc3[N+](=O)[O-])c21,C18H17NO5,41
O=C(c1ccccc1)c1c2c3cc4c(c5c6ccccc6oc35)C3=C=CC(=c14)C2=Cc1ccccc13,C34H16O2,52
CCOc1ccc(-c2cn(CC)nc2C)cc1,C14H18N2O,35
COS(=O)(=O)c1ccc(C(=O)N2CCCCC2)n1C,C12H18N2O4S,37
CN1CCC(NS(=O)(=O)c2cccc3c2nc2n3CCCN2)CC1,C16H23N5O2S,47
CS(=O)(=O)CCOc1ccc2[nH]c(-c3ccccc3)cc2c1,C17H17NO3S,38
O=P(O)(O)OP(=O)(O)OP(=O)(OP(=O)(O)OP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O)OP(=O)(OP(=O)(O)O)OP(=O)(O)O,C6H20O30P8,58
CCN1CN(C)C(C(=Nc2ccc(-c3nnn[nH]3)cc2)N(C)C)=CC1=O,C17H22N8O,47
COC(=O)C1=CC=C=CC1=CC=CC=C1c2ccc(C)cc2C(=O)NS1(=O)=O,C21H17NO5S,45
CC1NC(=N)N(c2ccccc2)C1C,C11H15N3,27
O=C1CC(COC(=O)c2ccc(C(=O)OCCCC3CCCCC3)o2)O1,C19H24O7,50
CN(C)CCCCCN(C)C,C9H22N2,33
CCOC(=O)c1ccc(C(=O)N(CCC2CCCCC2)C2CCCCC2)cc1,C24H35NO3,63
COc1cc2c(OC(N)C(O)COC(=O)c3ccc(C(F)(F)Br)cc3)c(c1)c1cccc2c1,C24H20BrF2NO5,51
Cc1ccc(C(Cl)=CCN2CCN(C)C(=O)C2)s1,C13H17ClN2OS,35
O=C1Nc2ccccc2C2(C(=O)O)C1=CC=C(F)C2=C1C=CC(Cl)=C1,C19H11ClFNO3,35
O=c1nc(-c2ccccc2)nc2n1CCCC2,C13H13N3O,30
O=C1CN(CCCCCCCCCn2c(=O)c3c4nc2sc-3c2c4=CC=C2)C(=O)NN1,C22H25N5O3S,56
CCN(CC(=O)NCCNC(=O)NC#N)C(=O)c1scc2c(OC)ccc(OC)c12,C19H23N5O5S,53
CC(=O)OC(=O)c1ccc(C)cc1,C10H10O3,23
CCCOC1C2OCC(=O)N2C1Oc1cccc(Nc2nnc(-c3ccco3)s2)c1,C20H20N4O5S,47
CCC(C(=O)NC1CCCC1)N1c2ncc(s2)S1(=O)=O,C12H17N3O3S2,35
CC1=NNc2cccc1c2C(=O)OC1CCCCC1,C15H18N2O2,36
COCCCCCCn1c(=O)c2c3nc(N(C)C)n(C)c3n3c2nc2c(O)c(OC)c3c21,C22H28N6O4,60
COC1=CC=CC1(C)C(=O)NCc1nc2[nH]c(=O)c1c(C(=O)O)c2Br,C16H14BrN3O5,38
CCOC(=O)Cc1cc(C)ccc1C,C12H16O2,30
COc1cccc(C(=O)NC(=NC2CCCCC2)Sc2cccc(F)c2)c1,C21H23FN2O2S,50
CCOC1(C(=O)Nc2ccc(OC)cc2)C2=CC=C(C)C1=CC(OC)=C2,C21H23NO4,49
CC(C=Cc1ccccc1)=Nc1nc2nc(c1C)C(=O)N2,C16H14N4O,35
O=C(OCCCCCCCSc1nnc(-c2cc3ccc2cc3)s1)c1ccccc1,C24H24N2O2S2,54
CC(=O)OC1CCCCC1OC1C(O)CCCC1OC(=O)c1cc2ccc1cc2Cl,C23H27ClO6,52
CCC(NC1=NC(N)=Nc2cc3cccn(c-3n2)C(Nc2ccc(OC)cc2OC(=O)OC)=N1)c1ccccc1,C28H28N8O4,68
COC(=O)c1c2c(oc(=O)c1C(=O)OC(C)(C)CC(C)(C)C)OCCO2,C18H24O8,50
O=C1c2ccccc2-c2cc(-c3c(O)c4ccccc4oc3=O)ccc21,C22H12O4,38
Cc1ccc(S(=O)(=O)c2ccccc2)cc1[N+](=O)[O-],C13H11NO4S,30
