smiles,molecular_formula,num_atoms
COc1ccccc1C1=C(C)C(=O)N(CCC2CC2)C1=O,C17H19NO3,40
CC(C)(C)CCCCCCCCCC1=C(Br)C=C(Br)C1=O,C18H28Br2O,49
CN(CCCN1CCN(C2CCCCC2)c2nccnc21)C(=O)c1c2nn3c4nc2c3c1s4,C23H26N8OS,59
CC(=O)N(CCN(C)C)c1nnc(-c2ccccn2)[nH]c1=O,C14H18N6O2,40
CCCN(C(=O)N1CCOCC1)S(=O)(=O)c1ccc2scc(OC)c2c1,C17H22N2O5S2,48
CC(=O)OCCCc1c(C#N)ncc(C(F)(C(F)(F)F)C(F)(F)F)c1[N+](=O)[O-],C14H10F7N3O4,38
Nc1nnc(Cc2ccccc2Cl)n1C(=Nc1ccccc1Cl)c1cccc(O)c1,C22H17Cl2N5O,47
CC(=CC1=CC(=CC=C2C=CC=CC2=O)C(=O)OC1=O)c1ccccc1Br,C22H15BrO4,42
O=C(O)c1ccc(N2C(=O)N(CCOc3ccccc3)CC2C(=O)O)c(OS(=O)(=O)c2ccccc2)c1,C25H22N2O9S,59
COc1ccc([N+](=O)C2=C(C(=O)OC3C4COC(C(OC(=O)OC5C(O)COC5(C)C)O4)C3OC(C)=O)C(=O)NC2=O)cc1O,C27H29N2O16+,67
O=C(c1ccccc1F)C(F)(F)F,C8H4F4O,17
N#Cc1ccc(C(F)(F)F)cc1-c1ccc(S(=O)(=O)NC2CC2)c(F)c1,C17H12F4N2O2S,38
CC(=O)Oc1cc(C(=O)N2CCN3CCCC3C2)c(=O)n(-c2cccc(Cl)c2)c1,C21H22ClN3O4,51
O=C1N(CCCOc2ccccc2)C(=O)N2CCN1C2=CC=c1c2ccc([N+](=O)[O-])c1cs2,C23H20N4O5S,53
CCCCN(C(=O)NC1CCCC1)C(=O)c1ncccn1,C15H22N4O2,42
CCOC(=Cc1cccc(C(=O)N2CCC2(C)C)c1OC)c1c2cccc1-n1cnc-2n1,C25H26N4O3,58
COc1ccc2c(=O)n(CCN3CCCCC3)cc(S(=O)(=O)N3CCCCC3C(=O)O)c2c1,C23H31N3O6S,63
COC(=O)C(C(=CC(O)C(=O)O)C(=O)O)=C1C=CC=C2C1C(O)C(O)C(O)C2(C)Cc1ccc(OC)cc1,C27H30O11,63
CCN(CCCCOC(=O)c1cccc(-c2ccccc2C(=O)N2CCCCC2)n1)CC(=O)O,C26H33N3O5,67
CC1Cc2cc(C(C)(C)C)ccc2C(=O)O1,C14H18O2,33
